id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8.57307E+17,Increíble habitación al lado del Parque Retiro!,472356945,Fernanda,Retiro,Ibiza,40.41761402,-3.675635512,Private room,40,1,15,11/03/2024,1.5,1,316,15,NA
8.5433E+17,apartamento de lujo,16509221,Carlos,Chamartín,Prosperidad,40.44091951,-3.671196399,Entire home/apt,350,14,1,03/01/2024,0.37,4,180,1,NA
8.57667E+17,Palafox IX - Darya Living,454809758,Daniel,Chamberí,Trafalgar,40.43006579,-3.702143486,Entire home/apt,,30,4,01/01/2024,0.35,7,0,4,NA
8.54412E+17,Cozy room near Atocha and Retiro,14137007,Maria,Retiro,Pacífico,40.40642829,-3.680207133,Private room,49,2,23,22/02/2024,1.98,1,338,23,NA
8.54902E+17,Habitación con baño privado en ático con terraza,10974652,Marcela,Centro,Embajadores,40.4131762,-3.7023765,Private room,,3,9,15/11/2023,0.77,1,9,9,NA
8.54998E+17,Habitación privada doble cama 150,490363823,Lu,Carabanchel,Buenavista,40.36158,-3.75584,Private room,44,1,2,22/10/2023,0.17,3,359,2,NA
8.57682E+17,Loft cerca MetroUrgel-MadridRio,220924386,Jose,Carabanchel,Opañel,40.39296723,-3.720274088,Entire home/apt,83,5,17,28/02/2024,1.47,5,290,17,NA
8.57723E+17,habitación cerca del aeropuerto,273789617,Giovany,Barajas,Timón,40.47137,-3.58486,Private room,35,1,92,19/03/2024,8.41,2,355,92,NA
8.55074E+17,Ronda los Embajadores - Totalmente Renovado,452402798,Orlando,Centro,Embajadores,40.40784206,-3.701105719,Entire home/apt,80,1,10,01/03/2024,0.86,2,130,10,NA
8.55127E+17,Apartment Barajas-Metropolitano,192794786,Raquel,San Blas - Canillejas,Rejas,40.44463,-3.58286,Entire home/apt,74,1,1,23/07/2023,0.12,9,346,1,NA
8.5774E+17,"Nueva Habitación, Madrid-Centro.",503720474,Josmir,Centro,Universidad,40.42687938,-3.702555329,Private room,,1,0,,,3,0,0,NA
8.55152E+17,Excelente habitación,196627659,Felix,Carabanchel,Vista Alegre,40.38796852,-3.741822455,Private room,28,1,0,,,1,70,0,NA
